rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,-,level,name,message,hardware_id,values,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,level,name,message,hardware_id,values,-,key,value,-,key,value,-,level,name,message,hardware_id,values,-,key,value
1479505573096250649,,249,,1479505573,95886225,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,54,Events since startup,2693,Duration of window (s),5.399560,Actual frequency (Hz),10.000814,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029229,Latest timestamp delay,0.029277,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.3
1479505574196266134,,250,,1479505574,195813931,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,54,Events since startup,2704,Duration of window (s),5.399692,Actual frequency (Hz),10.000570,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029176,Latest timestamp delay,0.029254,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.2
1479505575296186347,,251,,1479505575,295745557,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,54,Events since startup,2715,Duration of window (s),5.399633,Actual frequency (Hz),10.000680,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029162,Latest timestamp delay,0.029299,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.2
1479505576396142067,,252,,1479505576,395732645,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,54,Events since startup,2726,Duration of window (s),5.399744,Actual frequency (Hz),10.000474,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029234,Latest timestamp delay,0.029315,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.2
1479505577495866042,,253,,1479505577,495647272,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,55,Events since startup,2737,Duration of window (s),5.499389,Actual frequency (Hz),10.001112,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029240,Latest timestamp delay,0.029330,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.2
1479505578596482822,,254,,1479505578,595529642,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,55,Events since startup,2748,Duration of window (s),5.499634,Actual frequency (Hz),10.000666,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029215,Latest timestamp delay,0.029278,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.2
1479505579696006360,,255,,1479505579,695386346,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,55,Events since startup,2759,Duration of window (s),5.499607,Actual frequency (Hz),10.000715,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029217,Latest timestamp delay,0.029272,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.2
1479505580695717126,,256,,1479505580,695464751,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,54,Events since startup,2769,Duration of window (s),5.399709,Actual frequency (Hz),10.000539,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029242,Latest timestamp delay,0.029289,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.4
1479505581796161248,,257,,1479505581,795556597,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,54,Events since startup,2780,Duration of window (s),5.399804,Actual frequency (Hz),10.000363,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029221,Latest timestamp delay,0.029349,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.2
1479505583095701653,,258,,1479505583,95236427,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,56,Events since startup,2793,Duration of window (s),5.599611,Actual frequency (Hz),10.000694,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029228,Latest timestamp delay,0.029289,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.2
